the_geom,interaction,data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,cartodb_id,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3,fixed_date
0101000020E6100000FB5C6DC5FEA236401804560E2D624040,37,6743890,434,LBY7193,7193,30 November 2018,2018,1,Violence against civilians,Attack,Unidentified Armed Group (Libya),,3,Civilians (Libya),,7,35334,Northern Africa,Libya,Derna,Derna,,Darna,32.767,22.6367,1,Libya24,National,"On November 30, unknown gunmen gunshot wounded a civilian severely in Derna.",0,1579563999,LBY,2018-11-30
0101000020E61000005C8FC2F5285C2A400AD7A3703D724040,60,6739039,434,LBY7472,7472,23 March 2019,2019,1,Protests,Peaceful protest,Protesters (Libya),Magarha Ethnic Group (Libya),6,,,0,27554,Northern Africa,Libya,Tripoli,Tripoli,,Tripoli,32.8925,13.18,1,AFP,International,"On March 23, Magharha tribesmen staged a protest in Tripoli, demanding the release of former Gaddafi-era intelligence chief Abdallah Senoussi. [size= no report]",0,1579563984,LBY,2019-03-23
0101000020E6100000FCA9F1D24D023740787AA52C43444040,37,6743585,434,LBY7470,7470,22 March 2019,2019,1,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Libya),,3,Civilians (Libya),Muslim Group (Libya),7,27578,Northern Africa,Libya,Derna,Derna,,Umm ar Rizam,32.5333,23.009,1,Libya Observer,National,"On March 22, unknown gunmen abducted an Islamic scholar in the town of Umm ar Rizam.",0,1579563999,LBY,2019-03-22
0101000020E61000007DAEB6627FF927406F8104C58F714040,60,6738477,434,LBY7612,7612,22 March 2019,2019,1,Protests,Peaceful protest,Protesters (Libya),,6,,,0,27581,Northern Africa,Libya,An Nuqat al Khams,An Nuqat al Khams,,Riqdalin,32.8872,11.9873,1,Address Libya,National,"On March 22, residents in Riqdalin staged a protest demanding the holding of elections, expressing support for the LNA, and for the disarming of militias and criminal gangs.[size=dozens]",0,1579563982,LBY,2019-03-22
0101000020E610000086C954C1A82429400D71AC8BDB604040,60,6738488,434,LBY7611,7611,22 March 2019,2019,1,Protests,Peaceful protest,Protesters (Libya),,6,,,0,27589,Northern Africa,Libya,Azzawya,Azzawya,,Surman,32.7567,12.5716,1,Address Libya,National,"On March 22, residents in Surman staged a protest demanding the holding of elections, expressing support for the LNA, and for the disarming of militias and criminal gangs.[size=dozens]",0,1579563982,LBY,2019-03-22
0101000020E6100000CFF753E3A5BB2740EFA7C64B37794040,60,6738520,434,LBY7613,7613,22 March 2019,2019,1,Protests,Peaceful protest,Protesters (Libya),,6,,,0,27622,Northern Africa,Libya,An Nuqat al Khams,An Nuqat al Khams,,Zaltan,32.947,11.8665,1,Address Libya,National,"On March 22, residents in Al Khums staged a protest demanding the holding of elections, expressing support for the LNA, and for the disarming of militias and criminal gangs.[size=dozens]",0,1579563982,LBY,2019-03-22
0101000020E6100000BB270F0BB596304068226C787A353F40,23,6743523,434,LBY7471,7471,22 March 2019,2019,1,Strategic developments,Disrupted weapons use,SPF: Sirte Protection Force,,3,Islamic State (Libya),,2,27672,Northern Africa,Libya,Sirt,Sirt,,Sirte,31.2089,16.5887,1,Libya Observer,National,"On March 22, the Sirte Protection Force dismantled IEDs planted by Islamic State militants in Sirte.",0,1579563998,LBY,2019-03-22
0101000020E61000005C8FC2F5285C2A400AD7A3703D724040,33,6741237,434,LBY7614,7614,22 March 2019,2019,1,Strategic developments,Disrupted weapons use,TPF: Tripoli Protection Force,,3,Unidentified Armed Group (Libya),,3,27675,Northern Africa,Libya,Tripoli,Tripoli,,Tripoli,32.8925,13.18,1,Jamahiriya News Agency,National,"On March 22, the Tripoli Protection Force discovered and dismantled an IED in the Zawiyah street area of Tripoli.",0,1579563991,LBY,2019-03-22
0101000020E610000012A5BDC117862C40C217265305534040,60,6741241,434,LBY7610,7610,21 March 2019,2019,1,Protests,Peaceful protest,Protesters (Libya),Labour Group (Libya),6,,,0,27764,Northern Africa,Libya,Almargeb,Almargeb,,Al Khums,32.6486,14.2619,1,Jamahiriya News Agency,National,"On March 21, general electric company employees in Al Khums staged a protest in reaction to an attack against one of their colleagues in Shakshuk.[size=dozen]",0,1579563991,LBY,2019-03-21
0101000020E61000008FC2F5285C2F2E408E75711B0D304040,60,6756492,434,LBY7608,7608,21 March 2019,2019,1,Protests,Peaceful protest,Protesters (Libya),Labour Group (Libya),6,,,0,27725,Northern Africa,Libya,Misrata,Misrata,,Misratah,32.3754,15.0925,1,Jamahiriya News Agency,National,"On March 21, general electric company employees in Misratah staged a protest in reaction to an attack against one of their colleagues in Shakshuk. [size=dozen]",0,1579801612,LBY,2019-03-21
0101000020E6100000F54A598638D62B40EE7C3F355EEA3940,37,6744110,434,LBY7452,7452,10 March 2019,2019,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (Libya),,3,Civilians (Libya),,7,28526,Northern Africa,Libya,Murzuq,Murzuq,,Murzuq,25.9155,13.9184,1,Libya24,National,"On March 10, unknown gunmen burned 15 houses in the town of Murzuq.",0,1579564000,LBY,2019-03-10
0101000020E61000006C787AA52C232D40401361C3D33B4040,60,6741218,434,LBY7609,7609,21 March 2019,2019,1,Protests,Peaceful protest,Protesters (Libya),Labour Group (Libya),6,,,0,27759,Northern Africa,Libya,Almargeb,Almargeb,,Zlitan,32.4674,14.5687,1,Jamahiriya News Agency,National,"On March 21, general electric company employees in Zlitan staged a protest in reaction to an attack against one of their colleagues in Shakshuk.[size=dozen]",0,1579563991,LBY,2019-03-21
0101000020E61000005C8FC2F5285C2A400AD7A3703D724040,60,6741229,434,LBY7469,7469,21 March 2019,2019,1,Protests,Peaceful protest,Protesters (Libya),Students (Libya),6,,,0,27761,Northern Africa,Libya,Tripoli,Tripoli,,Tripoli,32.8925,13.18,1,Jamahiriya News Agency,National,"On March 21, students at the Al-Fath University in Tripoli staged a protest rally demanding financial rights. [size= no report]",0,1579563991,LBY,2019-03-21
0101000020E6100000F54A598638D62B40EE7C3F355EEA3940,13,6743626,434,LBY7467,7467,18 March 2019,2019,1,Strategic developments,Other,Military Forces of Libya (2014-) Haftar Faction,,1,MPF: Murzuq Protection Force,Tabu Ethnic Militia (Libya),3,27928,Northern Africa,Libya,Murzuq,Murzuq,,Murzuq,25.9155,13.9184,2,Libya Observer,National,March 18: a mass grave with the bodies of 17 Tebu Tribesmen likely killed in clashed with te LNA mid February in Murzuq was found (fightingc oded in separate event on February 19 prec2).,0,1579563999,LBY,2019-03-18
0101000020E61000003E7958A8358D2C40AB3E575BB16F3A40,13,6738508,434,LBY7607,7607,18 March 2019,2019,1,Battles,Armed clash,Military Forces of Libya (2014-) Haftar Faction,,1,Unidentified Armed Group (Libya),,3,27929,Northern Africa,Libya,Sebha,Sebha,,Ghadduwah,26.4363,14.2758,1,Address Libya,National,"On March 18, LNA carried out an operation in Ghadduwah and killed an unknown number of gunmen, captured others, and freed three hostages (unknown fatalities coded as 10).",10,1579563982,LBY,2019-03-18
0101000020E61000003E7958A8358D2C40AB3E575BB16F3A40,37,6758799,434,LBY7468,7468,18 March 2019,2019,1,Violence against civilians,Attack,Unidentified Armed Group (Libya),,3,Civilians (Libya),,7,27942,Northern Africa,Libya,Sebha,Sebha,,Ghadduwah,26.4363,14.2758,1,Al Wasat (Libya); Libya Observer; 218TV; Akhbar Libya,National,"On March 18, unknown gunmen entered the village of Ghadduwah and opened fire gunshot woudning at least one individual while abducting three others.",0,1579805273,LBY,2019-03-18
0101000020E6100000705F07CE192134409E5E29CB100F4040,60,6743922,434,LBY7339,7339,31 January 2019,2019,1,Protests,Peaceful protest,Protesters (Libya),,6,,,0,31154,Northern Africa,Libya,Benghazi,Benghazi,,Benghazi,32.1177,20.1293,1,Libya24,National,"On January 31, residents in Benghazi staged a protest against UN envoy Ghassan Salame.",0,1579564000,LBY,2019-01-31
0101000020E6100000CA32C4B12E2E2A40143FC6DCB56C4040,33,6758800,434,LBY7466,7466,17 March 2019,2019,1,Battles,Armed clash,Janzur Knights Brigade,National Mobile Force (Libya),3,General Security Service Brigade,,3,28036,Northern Africa,Libya,Tripoli,Tripoli,,Ghot Alshaal,32.8493,13.0902,1,Libya Observer; Akhbar Libya; Libya Al Ahrar,National,"On March 17, the Janzur Knights Brigade or the National Mobile Force clashed with the General Security Service Brigade in the area of Ghot Alshaal in western Tripoli.",0,1579805273,LBY,2019-03-17
0101000020E61000005C8FC2F5285C2A400AD7A3703D724040,60,6758801,434,LBY7464,7464,16 March 2019,2019,1,Protests,Peaceful protest,Protesters (Libya),,6,,,0,28099,Northern Africa,Libya,Tripoli,Tripoli,,Tripoli,32.8925,13.18,1,Al Wasat (Libya); Libya Al Ahrar,National,"On March 16, residents in Tripoli gathered to protest against a meeting between the two rival leaders Sarraj and Haftar in Abu Dhabi, and denounced LNA, Haftar, and military rule [size=dozens].",0,1579805273,LBY,2019-03-16
